tasks,type,matrix,time
1,openmpi,matrices/A_n3e6_d4.mtx,28.3285
1,openmpi,matrices/A_n5e6_d4.mtx,46.9204
4,openmp,matrices/A_n1e6_d4.mtx,1.9697
1,openmp,matrices/A_n1e6_d4.mtx,7.57318
4,openmpi,matrices/A_n1e6_d4.mtx,2.72403
4,openmpi,matrices/A_n2e6_d4.mtx,5.47508
4,openmpi,matrices/A_n3e6_d4.mtx,8.13686
4,openmpi,matrices/A_n5e6_d4.mtx,13.8564
4,openmp,matrices/A_n2e6_d4.mtx,4.01772
1,openmp,matrices/A_n2e6_d4.mtx,15.325
4,openmp,matrices/A_n3e6_d4.mtx,6.0235
1,openmp,matrices/A_n3e6_d4.mtx,23.6504
4,openmp,matrices/A_n5e6_d4.mtx,10.3398
2,openmpi,matrices/A_n1e6_d4.mtx,4.90888
1,openmp,matrices/A_n5e6_d4.mtx,39.2906
2,openmpi,matrices/A_n2e6_d4.mtx,9.93898
2,openmpi,matrices/A_n3e6_d4.mtx,14.8454
2,openmp,matrices/A_n1e6_d4.mtx,3.88516
2,openmpi,matrices/A_n5e6_d4.mtx,24.9555
2,openmp,matrices/A_n2e6_d4.mtx,7.8139
2,openmp,matrices/A_n3e6_d4.mtx,12.241
1,openmpi,matrices/A_n1e6_d4.mtx,9.35962
2,openmp,matrices/A_n5e6_d4.mtx,20.1652
1,openmpi,matrices/A_n2e6_d4.mtx,18.9578
1,openmpi,matrices/A_n3e6_d4.mtx,28.1374
1,openmpi,matrices/A_n5e6_d4.mtx,46.5605
14,openmpi,matrices/A_n1e6_d4.mtx,1.04459
14,openmpi,matrices/A_n2e6_d4.mtx,2.10762
14,openmpi,matrices/A_n3e6_d4.mtx,3.21511
14,openmpi,matrices/A_n5e6_d4.mtx,5.438
14,openmp,matrices/A_n1e6_d4.mtx,0.866053
14,openmp,matrices/A_n2e6_d4.mtx,1.89481
14,openmp,matrices/A_n3e6_d4.mtx,2.61726
14,openmp,matrices/A_n5e6_d4.mtx,4.80172
12,openmpi,matrices/A_n1e6_d4.mtx,1.06465
12,openmpi,matrices/A_n2e6_d4.mtx,2.14488
12,openmpi,matrices/A_n3e6_d4.mtx,3.16536
12,openmpi,matrices/A_n5e6_d4.mtx,5.52821
12,openmp,matrices/A_n1e6_d4.mtx,1.07695
12,openmp,matrices/A_n2e6_d4.mtx,1.95504
12,openmp,matrices/A_n3e6_d4.mtx,3.07784
12,openmp,matrices/A_n5e6_d4.mtx,4.752
10,openmpi,matrices/A_n1e6_d4.mtx,1.36716
10,openmpi,matrices/A_n2e6_d4.mtx,2.74902
10,openmpi,matrices/A_n3e6_d4.mtx,3.84676
20,openmp,matrices/A_n1e6_d4.mtx,0.442339
20,openmp,matrices/A_n2e6_d4.mtx,0.969186
20,openmp,matrices/A_n3e6_d4.mtx,1.53628
20,openmp,matrices/A_n5e6_d4.mtx,2.67191
20,openmpi,matrices/A_n1e6_d4.mtx,0.993217
20,openmpi,matrices/A_n2e6_d4.mtx,1.98011
20,openmpi,matrices/A_n3e6_d4.mtx,2.94634
20,openmpi,matrices/A_n5e6_d4.mtx,5.07705
18,openmpi,matrices/A_n1e6_d4.mtx,0.977498
18,openmpi,matrices/A_n2e6_d4.mtx,1.98653
18,openmpi,matrices/A_n3e6_d4.mtx,2.9422
18,openmpi,matrices/A_n5e6_d4.mtx,5.08496
18,openmp,matrices/A_n1e6_d4.mtx,0.80187
18,openmp,matrices/A_n2e6_d4.mtx,1.57665
18,openmp,matrices/A_n3e6_d4.mtx,2.55459
18,openmp,matrices/A_n5e6_d4.mtx,4.32404
16,openmpi,matrices/A_n1e6_d4.mtx,0.977414
16,openmpi,matrices/A_n2e6_d4.mtx,1.98293
16,openmpi,matrices/A_n3e6_d4.mtx,2.96358
16,openmpi,matrices/A_n5e6_d4.mtx,5.09867
16,openmp,matrices/A_n1e6_d4.mtx,0.842575
16,openmp,matrices/A_n2e6_d4.mtx,1.81497
16,openmp,matrices/A_n3e6_d4.mtx,2.63261
16,openmp,matrices/A_n5e6_d4.mtx,4.36185
8,openmp,matrices/A_n1e6_d4.mtx,1.33117
10,openmpi,matrices/A_n5e6_d4.mtx,6.78679
10,openmp,matrices/A_n1e6_d4.mtx,0.922767
8,openmpi,matrices/A_n1e6_d4.mtx,1.44468
8,openmpi,matrices/A_n2e6_d4.mtx,2.75287
10,openmp,matrices/A_n2e6_d4.mtx,1.88617
8,openmpi,matrices/A_n3e6_d4.mtx,4.13056
10,openmp,matrices/A_n3e6_d4.mtx,2.36721
8,openmpi,matrices/A_n5e6_d4.mtx,7.08866
10,openmp,matrices/A_n5e6_d4.mtx,4.26131
8,openmp,matrices/A_n2e6_d4.mtx,2.72433
8,openmp,matrices/A_n3e6_d4.mtx,3.44382
6,openmpi,matrices/A_n1e6_d4.mtx,1.78354
8,openmp,matrices/A_n5e6_d4.mtx,6.10397
6,openmpi,matrices/A_n2e6_d4.mtx,3.84305
6,openmpi,matrices/A_n3e6_d4.mtx,5.56991
6,openmp,matrices/A_n1e6_d4.mtx,1.58689
6,openmp,matrices/A_n2e6_d4.mtx,3.32255
6,openmpi,matrices/A_n5e6_d4.mtx,9.06945
6,openmp,matrices/A_n3e6_d4.mtx,4.26362
6,openmp,matrices/A_n5e6_d4.mtx,7.65962
2,openmp,matrices/A_n1e6_d4.mtx,3.42578
4,openmp,matrices/A_n1e6_d4.mtx,1.73673
6,hybrid,matrices/A_n1e6_d4.mtx,0.534184
2,hybrid,matrices/A_n1e6_d4.mtx,1.85118
1,hybrid,matrices/A_n1e6_d4.mtx,4.02896
2,hybrid,matrices/A_n2e6_d4.mtx,3.69369
1,hybrid,matrices/A_n2e6_d4.mtx,11.163
2,hybrid,matrices/A_n3e6_d4.mtx,5.57786
6,hybrid,matrices/A_n2e6_d4.mtx,1.0092
